StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q6,Q7_NPS_GROUP,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Online grocery shopping is buying food and other household necessities using a online shopping service which includes home delivery or curbside pick up. 
 

Starting February 2020, Did you used a web-based shopping service to buy grocery?",What is your age?,Gender,What is the highest degree or level of school you have completed?,Employment status,"What online shopping service do you prefer for your grocery shopping? 
 

Please, provide Store name, App name or website name.",How would you rate your overall experience with online grocery shopping services? - Group,How would you rate your overall experience with online grocery shopping services?,Online grocery shopping provides a wider range of products,"Using online grocery services, I am able to find all the items that I needed","Since the pandemic started, the products unavailable in stores were available online",COVID-19 regulations and safety guidelines put forth by local and federal authorities encourage me to use online grocery shopping services,"Because of all the COVID-19 restrictions, I felt the need to buy online grocery","During the COVID-19 pandemic, going to the grocery store is a risk for my health",I feel risky to go inside the grocery store even with a face mask and maintain social distance,The groceries bought online are of good quality,The groceries bought online are fresh,The groceries bought online meet my expectations,Online grocery shopping helps me save time,I am satisfied with the time between placement and receiving my online grocery order,Online grocery shopping services are accessible in my area,It is easy to get help from customer service when I shop for grocery online,Online grocery shopping helps me save money,"On average, the products that I buy using online grocery services are cheaper",I am most likely to find better deals on grocery using online grocery services,The COVID-19 pandemic had an impact on my intention to use online grocery shopping services,I intent to keep buy groceries using online services
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID7""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID10_NPS_GROUP""}","{""ImportId"":""QID10""}","{""ImportId"":""QID12""}","{""ImportId"":""QID14""}","{""ImportId"":""QID13""}","{""ImportId"":""QID15""}","{""ImportId"":""QID29""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID20""}","{""ImportId"":""QID25""}","{""ImportId"":""QID30""}","{""ImportId"":""QID18""}","{""ImportId"":""QID31""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID19""}","{""ImportId"":""QID21""}","{""ImportId"":""QID24""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}"
11/9/20 23:53,11/9/20 23:53,Survey Preview,,100,13,TRUE,11/9/20 23:53,R_1ps0VLIKs4vHchb,,,,,32.91029358,-96.728302,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/12/20 15:39,11/12/20 15:42,IP Address,75.17.224.126,100,173,TRUE,11/12/20 15:42,R_dmYDTvdWhjBFl97,,,,,32.91029358,-96.728302,anonymous,EN,Yes,30,Male,Bachelor's degree,Student,Target,Promoter,10,Agree,Strongly agree,Somewhat agree,Agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Agree,Somewhat agree
11/12/20 15:43,11/12/20 15:46,IP Address,70.120.201.141,100,213,TRUE,11/12/20 15:46,R_2THJMZGTYxnb90v,,,,,32.87559509,-96.74949646,anonymous,EN,Yes,23,Male,Master's degree,Student,Walmart,Passive,8,Agree,Agree,Somewhat agree,Agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree
11/12/20 15:49,11/12/20 15:52,IP Address,104.222.24.129,100,178,TRUE,11/12/20 15:52,R_21sMs2V1PncBlWh,,,,,32.46820068,-99.71820068,anonymous,EN,Yes,21,Prefer not to mention,Bachelor's degree,Unemployed,TaoBao,Promoter,10,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
11/12/20 15:49,11/12/20 15:56,IP Address,76.116.64.6,100,382,TRUE,11/12/20 15:56,R_3QJKXQgKXtVzn2O,,,,,40.71820068,-74.04759979,anonymous,EN,Yes,24,Male,Master's degree,Unemployed,Freshgogo,Promoter,9,Agree,Agree,Somewhat agree,Strongly agree,Strongly agree,Agree,Somewhat agree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree
11/12/20 15:52,11/12/20 15:56,IP Address,68.252.126.244,100,232,TRUE,11/12/20 15:56,R_1InibcIfVqdNdAM,,,,,32.85949707,-117.2124023,anonymous,EN,Yes,23,Male,Bachelor's degree,Employed,Amazon,Promoter,9,Agree,Somewhat disagree,Somewhat agree,Agree,Agree,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Agree,Agree
11/12/20 15:51,11/12/20 15:57,IP Address,101.85.124.69,100,322,TRUE,11/12/20 15:57,R_1pFMIrce5LXNm1G,,,,,31.04490662,121.4012146,anonymous,EN,Yes,23,Male,Master's degree,Unemployed,Amazon,Passive,7,Agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Agree
11/12/20 15:56,11/12/20 16:02,IP Address,174.225.131.75,100,359,TRUE,11/12/20 16:02,R_2CCCx3T3A5VNU7o,,,,,40.38459778,-74.17539978,anonymous,EN,Yes,21,Female,High school,Student,freshgogo,Detractor,6,Disagree,Disagree,Disagree,Agree,Strongly agree,Somewhat agree,Somewhat agree,Disagree,Somewhat agree,Somewhat disagree,Agree,Disagree,Agree,Somewhat disagree,Disagree,Strongly disagree,Disagree,Agree,Somewhat agree
11/12/20 16:02,11/12/20 16:03,IP Address,96.49.56.10,100,51,TRUE,11/12/20 16:03,R_1MVOhXzDkWUaDFs,,,,,49.36669922,-123.1665039,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,
11/12/20 16:00,11/12/20 16:04,IP Address,188.74.64.210,100,255,TRUE,11/12/20 16:04,R_1CBjEtzbU0TVnEI,,,,,55.94889832,-3.163192749,anonymous,EN,Yes,23,Male,Bachelor's degree,Unemployed,Jingdongï¼ŒTaobao,Passive,8,Strongly agree,Disagree,Somewhat disagree,Agree,Somewhat disagree,Agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Somewhat agree,Agree,Agree
11/12/20 18:08,11/12/20 18:16,IP Address,75.138.176.171,100,454,TRUE,11/12/20 18:16,R_27pcexVZhX3sNlo,,,,,42.07380676,-72.03029633,anonymous,EN,Yes,30,Female,Master's degree,Employed,Costco,Passive,8,Somewhat disagree,Somewhat agree,Somewhat disagree,Disagree,Agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Disagree,Strongly agree,Somewhat agree
11/12/20 18:57,11/12/20 19:01,IP Address,174.197.66.217,100,259,TRUE,11/12/20 19:01,R_pFxOAWqll3JFc1r,,,,,32.790802,-96.83360291,anonymous,EN,Yes,35,Female,Master's degree,Employed,Walmart,Promoter,9,Somewhat disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Agree,Agree,Somewhat agree,Somewhat disagree,Agree,Agree
11/12/20 19:07,11/12/20 19:08,IP Address,64.189.106.108,100,34,TRUE,11/12/20 19:08,R_Ui36w17NCcWlorf,,,,,33.24339294,-95.91100311,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,
11/12/20 19:14,11/12/20 19:15,IP Address,76.237.209.80,100,52,TRUE,11/12/20 19:15,R_248Hz7K9IRjRHvt,,,,,32.72120667,-96.67649841,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,
11/12/20 19:15,11/12/20 19:15,Spam,76.237.209.80,100,14,TRUE,11/12/20 19:15,R_uh5ovfqOoAYyswh,,,,,32.72120667,-96.67649841,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,
11/13/20 00:48,11/13/20 00:50,IP Address,173.172.229.174,100,144,TRUE,11/13/20 00:50,R_3s5OCpDuZvWUpYj,,,,,33.01759338,-96.99259949,anonymous,EN,Yes,24,Female,Associate degree,Employed,walmart,Promoter,9,Agree,Somewhat disagree,Disagree,Neither agree nor disagree,Somewhat agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree
11/13/20 02:10,11/13/20 02:14,IP Address,76.184.162.109,100,222,TRUE,11/13/20 02:14,R_2foDERmnjpEuXTf,,,,,33.10470581,-96.09269714,anonymous,EN,Yes,27,Female,Bachelor's degree,Student,walmart,Passive,7,Somewhat agree,Agree,Neither agree nor disagree,Agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Agree,Agree,Agree
11/13/20 02:18,11/13/20 02:18,IP Address,76.184.162.109,100,19,TRUE,11/13/20 02:18,R_2EjgRQgNPYaO42d,,,,,33.10470581,-96.09269714,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,
11/13/20 02:18,11/13/20 02:35,IP Address,76.184.162.109,100,985,TRUE,11/13/20 02:35,R_2ZUIzVEdmN1QL6X,,,,,33.10470581,-96.09269714,anonymous,EN,Yes,25,Female,Bachelor's degree,Employed,Walmart,Promoter,9,Agree,Agree,Somewhat disagree,Agree,Somewhat agree,Agree,Agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Agree,Agree,Somewhat disagree,Disagree,Somewhat disagree,Agree,Somewhat agree
11/13/20 02:46,11/13/20 02:46,IP Address,70.142.59.37,100,18,TRUE,11/13/20 02:46,R_3hhFkIKd8ApSteb,,,,,32.85479736,-97.08190155,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,
11/13/20 02:46,11/13/20 02:47,Spam,70.142.59.37,100,21,TRUE,11/13/20 02:47,R_1PcxJavayaNjkTM,,,,,32.85479736,-97.08190155,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,
11/13/20 02:51,11/13/20 02:55,IP Address,70.142.59.37,100,239,TRUE,11/13/20 02:55,R_RVmHVetPO5WlEuR,,,,,32.85479736,-97.08190155,anonymous,EN,Yes,30,Female,Bachelor's degree,Employed,"Sams, Walmart ",Passive,7,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Disagree,Disagree,Somewhat disagree,Disagree,Disagree
11/13/20 06:57,11/13/20 07:02,IP Address,67.10.224.94,100,293,TRUE,11/13/20 07:02,R_23Zwhf0OaCgqYes,,,,,33.03909302,-97.07640076,anonymous,EN,Yes,26,Female,Bachelor's degree,Unemployed,Walmart grocery pick up,Passive,8,Disagree,Disagree,Disagree,Somewhat agree,Somewhat agree,Agree,Agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Agree,Strongly agree,Strongly agree,Agree,Agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree
11/13/20 07:42,11/13/20 07:48,IP Address,70.121.63.14,100,315,TRUE,11/13/20 07:48,R_2QrKrUHz9Eo8psZ,,,,,32.94729614,-96.70279694,social,EN,Yes,24,Male,Master's degree,Employed,Amazon ,Passive,8,Agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Somewhat disagree,Agree,Agree,Agree,Agree,Somewhat disagree
11/13/20 08:22,11/13/20 08:23,IP Address,174.236.139.147,100,27,TRUE,11/13/20 08:23,R_PuiKT32uciKwUAV,,,,,35.04899597,-89.95189667,social,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,
11/13/20 08:43,11/13/20 08:45,IP Address,198.90.109.73,100,154,TRUE,11/13/20 08:45,R_ZKtz336ERh4qG9b,,,,,30.60319519,-96.31359863,social,EN,Yes,21,Female,Bachelor's degree,Employed,"HEB, Instacart ",Promoter,10,Somewhat disagree,Somewhat disagree,Somewhat disagree,Agree,Agree,Agree,Somewhat agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat agree,Agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree
11/13/20 08:44,11/13/20 08:52,IP Address,70.121.71.47,100,471,TRUE,11/13/20 08:52,R_1g0wCOuwiHBmBck,,,,,30.50450134,-97.82089996,social,EN,Yes,27,Female,Master's degree,Student,H-E-B,Passive,8,Somewhat agree,Agree,Agree,Agree,Agree,Agree,Somewhat agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Somewhat agree
11/13/20 09:29,11/13/20 09:36,IP Address,66.25.194.223,100,398,TRUE,11/13/20 09:36,R_06PMDXDbh7BMt9v,,,,,33.86540222,-98.52519989,anonymous,EN,Yes,27,Female,Master's degree,Employed,Instacart,Promoter,9,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Agree,Agree,Somewhat agree,Agree,Somewhat agree,Agree,Agree,Agree,Agree,Agree,Disagree,Somewhat agree,Agree,Disagree,Agree
11/13/20 09:51,11/13/20 09:53,IP Address,37.160.138.188,100,142,TRUE,11/13/20 09:53,R_27d8sXNxAZLLKe5,,,,,43.14790344,12.10969543,social,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,
11/13/20 09:57,11/13/20 09:58,IP Address,93.44.191.188,100,26,TRUE,11/13/20 09:58,R_2zp4Bup736ZVWwM,,,,,45.64950562,13.77679443,social,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,
11/13/20 10:47,11/13/20 10:50,IP Address,45.24.17.128,100,165,TRUE,11/13/20 10:50,R_2B9ENMobbZSxp1h,,,,,32.39039612,-93.71170044,anonymous,EN,Yes,24,Female,Master's degree,Employed,Instacart,Detractor,4,Disagree,Disagree,Disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Strongly agree,Disagree,Somewhat agree,Disagree,Agree,Agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Agree,Disagree
11/13/20 10:55,11/13/20 11:00,IP Address,75.17.224.126,100,274,TRUE,11/13/20 11:00,R_2vYdn0Mn2nkeeQR,,,,,32.91029358,-96.728302,anonymous,EN,Yes,26,Female,Bachelor's degree,Employed,Kroger,Promoter,9,Agree,Strongly agree,Somewhat disagree,Agree,Agree,Somewhat agree,Somewhat agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Neither agree nor disagree,Agree,Strongly agree,Somewhat agree
11/13/20 12:24,11/13/20 12:26,IP Address,5.90.211.31,100,80,TRUE,11/13/20 12:26,R_1IoMhrDznIVzJGD,,,,,46.00590515,11.19430542,social,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,
11/13/20 12:23,11/13/20 12:28,IP Address,107.222.103.193,100,329,TRUE,11/13/20 12:28,R_1IsaSYLoH7WfuVi,,,,,33.19760132,-96.61779785,social,EN,Yes,27,Male,Master's degree,Employed,instakart,Passive,8,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Agree,Disagree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat agree
11/13/20 12:35,11/13/20 12:47,IP Address,95.239.126.73,100,743,TRUE,11/13/20 12:47,R_3lDGcoSZZ3tdNEZ,,,,,45.97659302,13.32310486,social,EN,Yes,45,Female,Bachelor's degree,Employed,NATURASI AMAZON PRIVALIA,Passive,8,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree
11/13/20 12:48,11/13/20 12:57,IP Address,151.38.155.164,100,528,TRUE,11/13/20 12:57,R_2V3FH4YCc8YcD1u,,,,,45.46429443,9.189498901,social,EN,Yes,46,Male,Doctorate degree,Employed,Ebay,Passive,8,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Agree
11/13/20 16:36,11/13/20 16:45,IP Address,107.77.198.174,100,523,TRUE,11/13/20 16:45,R_1hHbqSS7wL6Un0v,,,,,32.87930298,-96.63749695,anonymous,EN,Yes,22,Female,High school,Employed,Walmart ,Detractor,6,Somewhat disagree,Somewhat agree,Agree,Disagree,Agree,Strongly agree,Agree,Somewhat agree,Agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Agree,Disagree,Neither agree nor disagree,Strongly agree,Somewhat disagree
11/13/20 21:51,11/13/20 21:52,IP Address,76.184.171.149,100,13,TRUE,11/13/20 21:52,R_yvv3RN3flR1rkAh,,,,,33.18539429,-96.13040161,social,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/20 11:42,11/14/20 11:42,IP Address,68.80.242.209,100,19,TRUE,11/14/20 11:42,R_1g7pXXTSbXqwBZv,,,,,40.10049438,-75.37090302,social,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/20 12:41,11/14/20 12:41,IP Address,24.104.230.243,100,24,TRUE,11/14/20 12:41,R_3Eyv7H5SXfpmSS7,,,,,40.69940186,-73.88829803,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/20 14:41,11/15/20 14:46,IP Address,79.24.232.201,100,298,TRUE,11/15/20 14:46,R_2thB3Jja7dyoQX0,,,,,45.64950562,13.77679443,social,EN,Yes,22,Male,Bachelor's degree,Employed,Esselunga e supermercato24,Promoter,10,Strongly agree,Strongly agree,Agree,Agree,Somewhat agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree
11/15/20 14:57,11/15/20 14:57,IP Address,104.129.206.171,100,39,TRUE,11/15/20 14:57,R_ujGSfBLnfFYz8Dn,,,,,35.28419495,-80.87190247,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/20 14:58,11/15/20 14:58,Spam,104.129.206.171,100,5,TRUE,11/15/20 14:58,R_2qmEJlAb9QCc0PO,,,,,35.28419495,-80.87190247,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/20 15:15,11/15/20 15:20,IP Address,72.191.15.199,100,276,TRUE,11/15/20 15:20,R_1jpJh6cDJx9t1eb,,,,,33.01759338,-96.99259949,anonymous,EN,Yes,32,Male,Master's degree,Employed,Walmart,Passive,8,Agree,Strongly agree,Neither agree nor disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Somewhat agree,Strongly agree,Disagree,Agree,Strongly agree,Disagree
11/15/20 16:55,11/15/20 16:57,IP Address,172.58.111.66,100,121,TRUE,11/15/20 16:57,R_1hXeJrVZLcibAcT,,,,,32.9992981,-96.83460236,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/20 17:26,11/15/20 17:29,IP Address,98.200.12.43,100,203,TRUE,11/15/20 17:29,R_2CBSrO1SfUcrcuQ,,,,,29.74909973,-95.5542984,anonymous,EN,Yes,26,Female,Master's degree,Employed,Instacart,Promoter,10,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree
11/15/20 17:36,11/15/20 17:46,IP Address,70.123.110.49,100,606,TRUE,11/15/20 17:46,R_vfu36ZPuY4bkOFH,,,,,32.83099365,-96.76920319,anonymous,EN,Yes,24,Female,Bachelor's degree,Employed,Instacart,Passive,7,Agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree
11/15/20 17:38,11/15/20 17:53,IP Address,70.120.153.189,100,888,TRUE,11/15/20 17:53,R_39sobEldjZXgGwV,,,,,32.86839294,-96.93840027,anonymous,EN,Yes,27,Male,Master's degree,Employed,Walmart,Promoter,9,Somewhat disagree,Agree,Agree,Disagree,Somewhat agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Agree,Somewhat disagree,Strongly agree,Disagree,Agree,Agree,Agree
11/15/20 18:16,11/15/20 18:16,IP Address,50.84.124.170,100,17,TRUE,11/15/20 18:16,R_8jGTvHMWX8FGDo5,,,,,33.02250671,-96.72899628,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/20 18:23,11/15/20 18:23,IP Address,73.137.71.38,100,4,TRUE,11/15/20 18:23,R_6fJqD57C9NtJEu5,,,,,34.24969482,-84.48940277,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/20 18:26,11/15/20 18:28,IP Address,47.41.8.104,100,90,TRUE,11/15/20 18:28,R_5hhP4zFagsXnZJv,,,,,34.1230011,-117.8988037,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/20 18:31,11/15/20 18:32,IP Address,73.46.185.210,100,13,TRUE,11/15/20 18:32,R_3PyLjYXCTCnWfs7,,,,,25.77380371,-80.35839844,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/20 18:33,11/15/20 18:33,Spam,73.46.185.210,100,5,TRUE,11/15/20 18:33,R_3egcjHLCR358Le6,,,,,25.7592926,-80.35510254,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/20 18:34,11/15/20 18:35,IP Address,70.123.118.99,100,46,TRUE,11/15/20 18:35,R_2wKKOIZN6vv8PQR,,,,,32.83099365,-96.76920319,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/20 19:10,11/15/20 19:11,IP Address,70.120.119.72,100,40,TRUE,11/15/20 19:11,R_2xy1Hw1mHXItOb9,,,,,32.96099854,-96.98410034,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/20 19:05,11/15/20 19:11,IP Address,47.234.204.88,100,368,TRUE,11/15/20 19:11,R_1OJs9IIH3zny6QC,,,,,33.24339294,-95.91100311,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/20 19:23,11/15/20 19:23,IP Address,70.123.109.96,100,13,TRUE,11/15/20 19:23,R_785WeZWs7wPOk7f,,,,,32.87559509,-96.74949646,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/20 19:26,11/15/20 19:27,IP Address,173.218.247.99,100,18,TRUE,11/15/20 19:27,R_2rpDfJHLHif91pi,,,,,39.26400757,-81.53320313,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,
